board,holding,hand_score,category,action,correct_decision,pot_size
JsKs5d,Th9h,24,空振り+GS,check,Check,5
Th4c5d,Ah4h,37,ボトムペア+BDFD,bet,Bet 4,5
9dTs8s,AhQd,41,Aハイ+GS,bet,Bet 2,5
Jh4h5s,As8d,25,Aハイ,check,Check,5
7d6c4h,QhTh,39,Qハイ+2OC,check,Check,5
Jh4h5s,Qh9h,51,Qハイ+FD,bet,Bet 4,5
9dTs8s,JcTc,82,TPMK+OESD,check,Check,5
TsKcAh,QcJc,100,Aハイストレート+BDFD+OESD,bet,Bet 4,5
9dTs8s,Ad8d,36,ボトムペア+BDFD+BDSD,check,Check,5
6s8d7c,AcQs,49,Aハイ+2OC,bet,Bet 2,5
JsKs5d,Ac8d,25,Aハイ,check,Check,5
Th4c5d,Ah4h,37,ボトムペア+BDFD,bet,Bet 4,5
Jh4h5s,AhTd,30,Aハイ+BDFD,check,Check,5
AcKs7d,Qs5s,21,Qハイ+BDFD+BDSD,check,Check,5
5c2d3h,Td7d,32,空振り+2OC,bet,Bet 2,5
9s7s4c,Ah5d,25,Aハイ,check,Check,5
8h8cTc,Td8s,92,フルハウス,bet,Bet 2,5
Th4c5d,9h9c,35,アンダーペア(低),check,Check,5
Th3s2d,QsJs,39,Qハイ+2OC,bet,Bet 4,5
Jh4h5s,Jd8d,50,TPMK,check,Check,5
TsKcAh,QhJd,100,Aハイストレート+OESD,bet,Bet 4,5
Ad9h8h,KsQs,22,Kハイ+BDSD,check,Check,5
Th4c5d,4s4d,85,ボトムセット,bet,Bet 4,5
TsKcAh,5h5c,35,アンダーペア(低),check,Check,5
7d6c4h,5h5d,67,アンダーペア(低)+OESD,bet,Bet 2,5
8h8cTc,Ac6h,30,Aハイ+BDFD,bet,Bet 2,5
JcJh4s,As7d,25,Aハイ,check,Check,5
Ad8d3d,7s7d,71,アンダーペア(低)+FD,check,Check,5
JsKs5d,KcJd,78,2ペア(top2),bet,Bet 4,5
5c5dAh,9d7d,13,空振り+BDFD,bet,Bet 2,5
4s4h3h,9s9h,73,2ペア(split)+BDFD,bet,Bet 2,5
Td6h4h,Jh9d,16,Jハイ+BDFD+BDSD,bet,Bet 4,5
Qc8cAc,Qs2s,37,セカンドペア(弱)+BDFD,check,Check,5
4s4h3h,6d5d,40,空振り+OESD,bet,Bet 2,5
5c2d3h,Kh8c,44,Kハイ+2OC,bet,Bet 2,5
QcAdKh,JsJc,56,アンダーペア(中)+GS,bet,Bet 4,5
Qc8cAc,Qd4d,37,セカンドペア(弱)+BDFD,check,Check,5
4s4h3h,Jc5c,34,Jハイ+2OC,bet,Bet 2,5
5c2d3h,9d6d,56,空振り+BDFD+GS,bet,Bet 2,5
9s7s4c,AhQh,49,Aハイ+2OC,check,Check,5
Td6h4h,Kc8d,20,Kハイ,check,Check,5
Th4c5d,7h5h,37,セカンドペア(弱)+BDFD,check,Check,5
Ad9h8h,Ts9s,36,セカンドペア(中)+BDSD,check,Check,5
JcJh4s,Ac4c,80,2ペア(top+mid)+BDFD,bet,Bet 2,5
6s8d7c,AdAc,79,オーバーペア(高)+BDSD,check,Check,5
Td6h4h,Ad9c,25,Aハイ,check,Check,5
Qc8cAc,Ad9c,86,TPMK+FD,check,Check,5
Js8d3c,As6s,30,Aハイ+BDFD,check,Check,5
8h8cTc,Kd5d,20,Kハイ,check,Check,5
Ad8d3d,Ac6d,81,TPWK+FD,check,Check,5
Ad8d3d,As5s,50,TPWK+BDFD,check,Check,5
QcAdKh,JcTh,100,Aハイストレート+OESD,bet,Bet 4,5
TsKcAh,6c5c,13,空振り+BDFD,check,Check,5
Ks7h2d,Kd9d,55,TPMK+BDFD,bet,Bet 2,5
7d6c4h,Kc5c,70,Kハイ+BDFD+OESD,bet,Bet 2,5
Jh4h5s,Ac4s,32,ボトムペア,check,Check,5
JcJh4s,Tc8s,8,空振り,bet,Bet 2,5
Js8d3c,KsKh,78,オーバーペア(高),bet,Bet 2,5
Jh4h5s,TsTh,45,アンダーペア(中)+BDFD,check,Check,5
Th4c5d,Jd4d,37,ボトムペア+BDFD,check,Check,5
AcKs7d,Qh9c,17,Qハイ+BDSD,check,Check,5
9dTs8s,Td8h,76,2ペア(top+mid)+BDSD,check,Check,5
JcJh4s,Qc9s,15,Qハイ,bet,Bet 2,5
9dTs8s,7c5c,40,空振り+OESD,bet,Bet 2,5
9s7s4c,As9h,75,TPTK+BDFD,bet,Bet 4,5
TsKcAh,Kh7h,37,セカンドペア(弱)+BDFD,check,Check,5
8h8cTc,KcJs,44,Kハイ+2OC,bet,Bet 2,5
5c5dAh,KsTd,20,Kハイ,check,Check,5
TsKcAh,AcKh,78,2ペア(top2),bet,Bet 4,5
Qc8cAc,QdTs,40,セカンドペア(中)+BDFD,check,Check,5
Ad9h8h,KcQc,22,Kハイ+BDSD,check,Check,5
8h8cTc,AhTh,83,2ペア(top2)+BDFD,bet,Bet 2,5
JsKs5d,QsJh,46,セカンドペア(強)+BDFD+BDSD,check,Check,5
4s4h3h,KcTc,44,Kハイ+2OC,check,Check,5
TsKcAh,Jh9c,26,Jハイ+GS,bet,Bet 4,5
5c2d3h,7s6s,24,空振り+GS,bet,Bet 2,5
5c5dAh,Ac3h,78,2ペア(top2),check,Check,5
6s8d7c,8c6c,79,2ペア(top+mid)+BDFD+BDSD,bet,Bet 2,5
4s4h3h,Tc8d,32,空振り+2OC,check,Check,5
7d6c4h,Qd5d,65,Qハイ+BDFD+OESD,bet,Bet 2,5
Js8d3c,Ah6h,25,Aハイ,check,Check,5
Td6h4h,As4d,32,ボトムペア,check,Check,5
Ad9h8h,Jh5h,46,Jハイ+FD,check,Check,5
JsKs5d,JhTc,35,セカンドペア(中),check,Check,5
JsKs5d,8h8d,35,アンダーペア(低),check,Check,5
Th4c5d,5h4h,73,2ペア(split)+BDFD,bet,Bet 4,5
Th4c5d,Ah9h,30,Aハイ+BDFD,check,Check,5
Td6h4h,Ks8d,20,Kハイ,check,Check,5
Ad8d3d,Kc7c,25,Kハイ+BDFD,check,Check,5
6s8d7c,Qs9h,47,Qハイ+OESD,bet,Bet 2,5
Qc8cAc,Kc4c,86,フラッシュ+BDSD,bet,Bet 2,5
Js8d3c,KcQs,44,Kハイ+2OC,bet,Bet 2,5
5c2d3h,As5h,86,TPTK+GS,bet,Bet 2,5
9s7s4c,Ad4h,32,ボトムペア,check,Check,5
Ks7h2d,KdQh,62,TPGK,bet,Bet 2,5
Th3s2d,Ts9s,55,TPMK+BDFD,bet,Bet 4,5
9dTs8s,QsJc,100,ストレート(high)+OESD,bet,Bet 2,5
Jh4h5s,Jd6d,46,TPWK+BDSD,check,Check,5
9s7s4c,Ad9h,70,TPTK,bet,Bet 4,5
Th3s2d,AcJs,49,Aハイ+2OC,check,Check,5
Th4c5d,Ad8c,25,Aハイ,check,Check,5
6s8d7c,4d4c,51,アンダーペア(低)+GS,check,Check,5
5c2d3h,Td8h,32,空振り+2OC,bet,Bet 2,5
9dTs8s,Qd9h,58,セカンドペア(強)+GS,check,Check,5
7d6c4h,AhAc,78,オーバーペア(高),check,Check,5
JsKs5d,Jd9s,40,セカンドペア(中)+BDFD,check,Check,5
Ks7h2d,Ts8h,8,空振り,bet,Bet 2,5
JsKs5d,Jh4h,32,セカンドペア(弱),check,Check,5
JcJh4s,AcJs,85,トリップス,bet,Bet 2,5
7d6c4h,Qc9h,39,Qハイ+2OC,bet,Bet 2,5
Ad8d3d,Ac5d,81,TPWK+FD,check,Check,5
Ad8d3d,KsJs,25,Kハイ+BDFD,check,Check,5
Td6h4h,Jc9s,12,Jハイ+BDSD,check,Check,5
Ad8d3d,QdTd,85,フラッシュ,bet,Bet 2,5
Ad9h8h,Kh6h,56,Kハイ+FD,bet,Bet 4,5
Js8d3c,Kh7h,20,Kハイ,check,Check,5
7d6c4h,Qd6d,47,セカンドペア(強)+BDFD,bet,Bet 2,5
Th4c5d,Jh4h,37,ボトムペア+BDFD,check,Check,5
AcKs7d,Qc9s,17,Qハイ+BDSD,check,Check,5
Jh4h5s,Ac4d,32,ボトムペア,check,Check,5
8h8cTc,Ts8s,92,フルハウス,bet,Bet 2,5
Th3s2d,AhJs,49,Aハイ+2OC,check,Check,5
Ks7h2d,Td8s,8,空振り,bet,Bet 2,5
Td6h4h,2s2c,35,アンダーペア(低),check,Check,5
Jh4h5s,AhTc,30,Aハイ+BDFD,check,Check,5
Th4c5d,JcTd,50,TPMK,check,Check,5
Td6h4h,Js8s,10,Jハイ,check,Check,5
9s7s4c,KcTc,44,Kハイ+2OC,check,Check,5
Js8d3c,AcKc,49,Aハイ+2OC,bet,Bet 2,5
Js8d3c,KcQs,44,Kハイ+2OC,bet,Bet 2,5
Td6h4h,Tc7c,45,TPWK,check,Check,5
5c5dAh,Ad3c,78,2ペア(top2),check,Check,5
Th4c5d,Tc8h,50,TPMK,check,Check,5
Th4c5d,3s3c,36,アンダーペア(低)+BDSD,check,Check,5
9dTs8s,7s7h,67,アンダーペア(低)+OESD,check,Check,5
AcKs7d,Ah7h,75,2ペア(top+mid),bet,Bet 4,5
TsKcAh,Tc9c,37,ボトムペア+BDFD,check,Check,5
6s8d7c,KdJs,44,Kハイ+2OC,bet,Bet 2,5
Jh4h5s,Ad8c,25,Aハイ,check,Check,5
JsKs5d,Ac2c,25,Aハイ,bet,Bet 4,5
6s8d7c,As5s,75,Aハイ+BDFD+OESD,bet,Bet 2,5
6s8d7c,5s4s,100,ストレート(mid)+BDFD+OESD,bet,Bet 2,5
JcJh4s,As6d,25,Aハイ,check,Check,5
Js8d3c,KdTs,20,Kハイ,bet,Bet 2,5
AcKs7d,AsJd,50,TPMK,bet,Bet 4,5
Ad8d3d,Kh9d,38,Kハイ+FD,check,Check,5
4s4h3h,KhTd,44,Kハイ+2OC,check,Check,5
5c5dAh,QdJd,20,Qハイ+BDFD,check,Check,5
AcKs7d,8s8h,35,アンダーペア(低),check,Check,5
5c2d3h,Ah9h,73,Aハイ+BDFD+GS,bet,Bet 2,5
6s8d7c,Ad2d,31,Aハイ+BDFD+BDSD,check,Check,5
Jh4h5s,AhKh,61,Aハイ+FD,check,Check,5
JcJh4s,Tc6c,13,空振り+BDFD,bet,Bet 2,5
Td6h4h,Qh9d,20,Qハイ+BDFD,bet,Bet 4,5
Ks7h2d,Ac8d,25,Aハイ,check,Check,5
QcAdKh,KdTd,83,セカンドペア(中)+BDFD+GS,bet,Bet 4,5
9dTs8s,KhJc,52,Kハイ+OESD,bet,Bet 2,5
Jh4h5s,AhKs,49,Aハイ+2OC,check,Check,5
4s4h3h,Ac5s,41,Aハイ+GS,check,Check,5
AcKs7d,KcTh,35,セカンドペア(中),check,Check,5
Ad8d3d,6d5d,85,フラッシュ,check,Check,5
Jh4h5s,Kc8s,20,Kハイ,check,Check,5
5c2d3h,Qd4d,65,Qハイ+BDFD+OESD,bet,Bet 2,5
QcAdKh,JsTs,100,Aハイストレート+OESD,bet,Bet 4,5
8h8cTc,Qh2h,20,Qハイ+BDFD,bet,Bet 2,5
JcJh4s,Ad6h,25,Aハイ,check,Check,5
9s7s4c,6s6c,40,アンダーペア(低)+BDFD,check,Check,5
9dTs8s,Qh9h,58,セカンドペア(強)+GS,check,Check,5
TsKcAh,Kh6h,37,セカンドペア(弱)+BDFD,check,Check,5
Ad8d3d,9c8c,40,セカンドペア(中)+BDFD,check,Check,5
6s8d7c,4s4h,51,アンダーペア(低)+GS,check,Check,5
Ad8d3d,Ah9h,55,TPMK+BDFD,check,Check,5
Ad8d3d,Kc9h,25,Kハイ+BDFD,check,Check,5
7d6c4h,Ts7s,50,TPMK,check,Check,5
9dTs8s,Qh5h,31,Qハイ+GS,check,Check,5
7d6c4h,AdJh,49,Aハイ+2OC,check,Check,5
4s4h3h,KcJd,44,Kハイ+2OC,check,Check,5
Js8d3c,Ks9c,20,Kハイ,bet,Bet 2,5
Th3s2d,As8d,27,Aハイ+BDSD,check,Check,5
JsKs5d,9h9d,35,アンダーペア(低),check,Check,5
Td6h4h,8h7h,56,空振り+FD+GS,bet,Bet 4,5
9s7s4c,Ad2d,25,Aハイ,bet,Bet 4,5
6s8d7c,Jd9c,42,Jハイ+OESD,bet,Bet 2,5
5c5dAh,KcTh,20,Kハイ,check,Check,5
Ad9h8h,7d7c,36,アンダーペア(低)+BDSD,check,Check,5
8h8cTc,Ad7s,25,Aハイ,check,Check,5
5c5dAh,KcJd,20,Kハイ,check,Check,5
Ad8d3d,KsQs,26,Kハイ+BDFD+BDSD,check,Check,5
Ad8d3d,As7s,50,TPWK+BDFD,check,Check,5
4s4h3h,7d7c,68,2ペア(split),bet,Bet 2,5
Td6h4h,AdAc,78,オーバーペア(高),check,Check,5
Ks7h2d,As9d,25,Aハイ,check,Check,5
Ad9h8h,AhTd,54,TPMK+BDFD+BDSD,check,Check,5
TsKcAh,Td8c,32,ボトムペア,check,Check,5
JsKs5d,Ah9c,25,Aハイ,check,Check,5
JcJh4s,5s5h,75,2ペア(top+mid),bet,Bet 2,5
JsKs5d,Qh4h,17,Qハイ+BDSD,check,Check,5
Th4c5d,Td9c,50,TPMK,check,Check,5
QcAdKh,Qs9d,33,ボトムペア+BDSD,check,Check,5
Ad9h8h,AhKs,75,TPTK+BDFD,bet,Bet 4,5
Th4c5d,Kh8d,20,Kハイ,check,Check,5
Ad9h8h,KsQd,22,Kハイ+BDSD,check,Check,5
Th3s2d,Ac7c,27,Aハイ+BDSD,check,Check,5
Ad9h8h,Kh4h,56,Kハイ+FD,bet,Bet 4,5
9s7s4c,JdTc,26,Jハイ+GS,check,Check,5
Ks7h2d,Ad3s,27,Aハイ+BDSD,bet,Bet 2,5
TsKcAh,Ac9d,50,TPMK,check,Check,5
Ad9h8h,Kh8s,37,ボトムペア+BDFD,check,Check,5
4s4h3h,Ad7h,49,Aハイ+2OC,check,Check,5
Th4c5d,AcTd,70,TPTK,bet,Bet 4,5
5c5dAh,9c6c,13,空振り+BDFD,bet,Bet 2,5
JsKs5d,As2s,61,Aハイ+FD,bet,Bet 4,5
JsKs5d,3h3d,35,アンダーペア(低),check,Check,5
Js8d3c,9s7s,56,空振り+BDFD+GS,bet,Bet 2,5
5c2d3h,KsJh,44,Kハイ+2OC,check,Check,5
9s7s4c,As6d,30,Aハイ+BDFD,bet,Bet 4,5
JcJh4s,JdTs,85,トリップス,bet,Bet 2,5
4s4h3h,AsKc,49,Aハイ+2OC,bet,Bet 2,5
QcAdKh,Ks2s,33,セカンドペア(弱)+BDSD,check,Check,5
Th3s2d,Ks5s,25,Kハイ+BDFD,bet,Bet 4,5
Td6h4h,Qd6d,47,セカンドペア(強)+BDFD,bet,Bet 4,5
Jh4h5s,6d6c,36,アンダーペア(低)+BDSD,check,Check,5
Th3s2d,QhQd,78,オーバーペア(高),bet,Bet 4,5
Ad9h8h,KsQh,26,Kハイ+BDFD+BDSD,check,Check,5
9s7s4c,Kd4d,32,ボトムペア,check,Check,5
JsKs5d,Qs9d,31,Qハイ+GS,bet,Bet 4,5
7d6c4h,Ah5h,75,Aハイ+BDFD+OESD,bet,Bet 2,5
4s4h3h,As5d,41,Aハイ+GS,check,Check,5
Ks7h2d,Kh8d,50,TPMK,check,Check,5
9s7s4c,As6d,30,Aハイ+BDFD,bet,Bet 4,5
Ad9h8h,As6c,45,TPWK,check,Check,5
Th3s2d,4h4d,36,アンダーペア(低)+BDSD,check,Check,5
JcJh4s,Ah5c,25,Aハイ,bet,Bet 2,5
Td6h4h,Jc4c,32,ボトムペア,check,Check,5
5c5dAh,9h6h,13,空振り+BDFD,bet,Bet 2,5
Ks7h2d,AdJd,30,Aハイ+BDFD,bet,Bet 2,5
Th3s2d,Td9d,55,TPMK+BDFD,bet,Bet 4,5
TsKcAh,JhJc,56,アンダーペア(中)+GS,check,Check,5
9dTs8s,Tc6c,61,TPWK+GS,bet,Bet 2,5
Jh4h5s,Td6d,10,空振り+BDSD,check,Check,5
JsKs5d,AdQd,73,Aハイ+BDFD+GS,bet,Bet 4,5
Th3s2d,8s8c,35,アンダーペア(低),check,Check,5
Th3s2d,Qh5h,20,Qハイ+BDFD,bet,Bet 4,5
Th4c5d,Tc8d,50,TPMK,check,Check,5
Jh4h5s,Ad7s,25,Aハイ,check,Check,5
6s8d7c,Qd2d,21,Qハイ+BDFD+BDSD,bet,Bet 2,5
4s4h3h,Ad2d,41,Aハイ+GS,check,Check,5
9s7s4c,Ac6s,30,Aハイ+BDFD,bet,Bet 4,5
Js8d3c,Ad9d,30,Aハイ+BDFD,check,Check,5
Td6h4h,AcJh,49,Aハイ+2OC,check,Check,5
QcAdKh,Th6h,56,空振り+BDFD+GS,bet,Bet 4,5
9dTs8s,KcQs,36,Kハイ+GS,bet,Bet 2,5
4s4h3h,9h8h,44,空振り+FD,bet,Bet 2,5
4s4h3h,Kc8d,44,Kハイ+2OC,check,Check,5
Jh4h5s,AcQd,49,Aハイ+2OC,check,Check,5
Ks7h2d,Kc9d,50,TPMK,check,Check,5
Th3s2d,Ah8c,27,Aハイ+BDSD,check,Check,5
Jh4h5s,Jc9s,50,TPMK,check,Check,5
8h8cTc,Js9c,42,Jハイ+OESD,bet,Bet 2,5
Th3s2d,Ad5d,73,Aハイ+BDFD+GS,bet,Bet 4,5
7d6c4h,Js5s,42,Jハイ+OESD,bet,Bet 2,5
AcKs7d,7h6h,32,ボトムペア,bet,Bet 4,5
Ad9h8h,7s6s,40,空振り+OESD,bet,Bet 4,5
Td6h4h,5d5c,36,アンダーペア(低)+BDSD,check,Check,5
9dTs8s,Kh3h,22,Kハイ+BDSD,check,Check,5
Th3s2d,AhJc,49,Aハイ+2OC,check,Check,5
JsKs5d,AsQd,41,Aハイ+GS,bet,Bet 4,5
AcKs7d,QsTs,63,Qハイ+BDFD+GS,bet,Bet 4,5
Qc8cAc,Jc9s,34,Jハイ+FD+GS,bet,Bet 2,5
QcAdKh,Td8d,56,空振り+BDFD+GS,bet,Bet 4,5
Ks7h2d,Jd9s,10,Jハイ,bet,Bet 2,5
Th3s2d,AdTd,74,TPTK+BDFD+BDSD,bet,Bet 4,5
Td6h4h,As9c,25,Aハイ,check,Check,5
QcAdKh,Kc8s,36,セカンドペア(中)+BDSD,check,Check,5
Ks7h2d,As5h,25,Aハイ,bet,Bet 2,5
Th3s2d,7s5s,13,空振り+BDFD,check,Check,5
4s4h3h,Kc8d,44,Kハイ+2OC,check,Check,5
7d6c4h,Td9d,56,空振り+BDFD+GS,bet,Bet 2,5
7d6c4h,KsJs,44,Kハイ+2OC,check,Check,5
AcKs7d,Jh5h,10,Jハイ,check,Check,5
8h8cTc,Kc9s,26,Kハイ+BDFD+BDSD,bet,Bet 2,5
Th4c5d,Ah9h,30,Aハイ+BDFD,check,Check,5
9dTs8s,Ac7d,57,Aハイ+OESD,bet,Bet 2,5
JsKs5d,JhTs,40,セカンドペア(中)+BDFD,check,Check,5
Td6h4h,JcTs,50,TPMK,check,Check,5
AcKs7d,Jd9c,10,Jハイ,check,Check,5
9dTs8s,4h4d,36,アンダーペア(低)+BDSD,check,Check,5
8h8cTc,As4d,25,Aハイ,check,Check,5
QcAdKh,Ac6h,46,TPWK+BDSD,check,Check,5
JcJh4s,AcKd,49,Aハイ+2OC,bet,Bet 2,5
TsKcAh,9d9c,35,アンダーペア(低),check,Check,5
5c2d3h,7s7d,68,オーバーペア(低),bet,Bet 2,5
Td6h4h,Ah9d,30,Aハイ+BDFD,check,Check,5
Ad8d3d,Js7s,15,Jハイ+BDFD,check,Check,5
AcKs7d,6s6h,35,アンダーペア(低),check,Check,5
QcAdKh,Tc7c,56,空振り+BDFD+GS,bet,Bet 4,5
AcKs7d,KdTd,40,セカンドペア(中)+BDFD,check,Check,5
JsKs5d,JhJd,88,ミドルセット,bet,Bet 4,5
Th4c5d,QhTd,62,TPGK,check,Check,5
Js8d3c,5h5c,35,アンダーペア(低),check,Check,5
Ks7h2d,KhKd,92,トップセット,bet,Bet 2,5
QcAdKh,JsJc,56,アンダーペア(中)+GS,bet,Bet 4,5
9s7s4c,KhQd,44,Kハイ+2OC,check,Check,5
TsKcAh,QhQd,61,アンダーペア(高)+GS,check,Check,5
JsKs5d,JhTs,40,セカンドペア(中)+BDFD,check,Check,5
TsKcAh,Kh8s,35,セカンドペア(中),check,Check,5
9dTs8s,Ad5h,27,Aハイ+BDSD,check,Check,5
Th4c5d,Ac4d,32,ボトムペア,check,Check,5
Jh4h5s,AsKs,49,Aハイ+2OC,check,Check,5
8h8cTc,Ad8d,85,トリップス,bet,Bet 2,5
Js8d3c,Ah3h,32,ボトムペア,bet,Bet 2,5
5c5dAh,Ad5h,92,フルハウス,bet,Bet 2,5
Td6h4h,2d2c,35,アンダーペア(低),check,Check,5
Ad9h8h,Tc9c,36,セカンドペア(中)+BDSD,check,Check,5
6s8d7c,Qd9d,65,Qハイ+BDFD+OESD,bet,Bet 2,5
JsKs5d,Ah8h,25,Aハイ,check,Check,5
Qc8cAc,Qs6s,37,セカンドペア(弱)+BDFD,check,Check,5
9s7s4c,AsQh,49,Aハイ+2OC,check,Check,5
Ad8d3d,Ac4s,50,TPWK+BDFD,check,Check,5
Ad9h8h,As6d,45,TPWK,check,Check,5
7d6c4h,Ks4s,32,ボトムペア,check,Check,5
QcAdKh,Kc2c,36,セカンドペア(弱)+BDFD+BDSD,check,Check,5
JsKs5d,Qc4c,17,Qハイ+BDSD,check,Check,5
5c5dAh,KdTd,25,Kハイ+BDFD,check,Check,5
TsKcAh,Kd9h,35,セカンドペア(中),check,Check,5
8h8cTc,As5h,25,Aハイ,check,Check,5
Qc8cAc,JdTc,34,Jハイ+FD+GS,check,Check,5
Td6h4h,KhQc,44,Kハイ+2OC,bet,Bet 4,5
QcAdKh,7s5s,10,空振り+BDSD,check,Check,5
AcKs7d,Ad2d,50,TPWK+BDFD,check,Check,5
AcKs7d,Kc8s,35,セカンドペア(中),check,Check,5
7d6c4h,Qh7h,67,TPGK+BDFD,bet,Bet 2,5
9dTs8s,Kc9h,43,セカンドペア(強)+BDSD,check,Check,5
QcAdKh,QsQd,86,ボトムセット+BDSD,bet,Bet 4,5
AcKs7d,Qd9h,17,Qハイ+BDSD,check,Check,5
9dTs8s,Ah4h,27,Aハイ+BDSD,check,Check,5
Th3s2d,Jh5h,15,Jハイ+BDFD,bet,Bet 4,5
AcKs7d,Js9d,10,Jハイ,check,Check,5
5c5dAh,AsAc,92,フルハウス,bet,Bet 2,5
4s4h3h,Kc9d,44,Kハイ+2OC,check,Check,5
Qc8cAc,KcTd,44,Kハイ+FD+GS,bet,Bet 2,5
8h8cTc,Jh5h,15,Jハイ+BDFD,bet,Bet 2,5
AcKs7d,QdQc,46,アンダーペア(高)+BDSD,check,Check,5
QcAdKh,TsTc,56,アンダーペア(中)+GS,bet,Bet 4,5
Ks7h2d,Ad7s,42,セカンドペア(強),bet,Bet 2,5
Th4c5d,Ac6s,27,Aハイ+BDSD,bet,Bet 4,5
Th3s2d,KsKc,78,オーバーペア(高),bet,Bet 4,5
Ad9h8h,Jd9s,35,セカンドペア(中),check,Check,5
Ad9h8h,Kc8d,32,ボトムペア,check,Check,5
Qc8cAc,KhTc,44,Kハイ+FD+GS,check,Check,5
Ad9h8h,Kc8s,32,ボトムペア,check,Check,5
