board,holding,hand_score,category,action,correct_decision,pot_size
9s7s4c,As6d,2,バックドアドロー,bet,Bet 4,5
4s4h3h,AsKc,2,エア,bet,Bet 2,5
Th3s2d,Ks5s,2,バックドアドロー,bet,Bet 4,5
JsKs5d,Qs9d,5,ガットショット,bet,Bet 4,5
9s7s4c,As6d,2,バックドアドロー,bet,Bet 4,5
JcJh4s,Ah5c,2,エア,bet,Bet 2,5
5c5dAh,9h6h,2,バックドアドロー,bet,Bet 2,5
Ks7h2d,AdJd,2,バックドアドロー,bet,Bet 2,5
JsKs5d,AdQd,5,ガットショット,bet,Bet 4,5
Th3s2d,Qh5h,2,バックドアドロー,bet,Bet 4,5
6s8d7c,Qd2d,2,バックドアドロー,bet,Bet 2,5
9s7s4c,Ac6s,2,バックドアドロー,bet,Bet 4,5
QcAdKh,Th6h,5,ガットショット,bet,Bet 4,5
9dTs8s,KcQs,5,ガットショット,bet,Bet 2,5
Th3s2d,Ad5d,5,ガットショット,bet,Bet 4,5
AcKs7d,7h6h,5,弱ペア/ボトムペア,bet,Bet 4,5
JsKs5d,AsQd,5,ガットショット,bet,Bet 4,5
AcKs7d,QsTs,5,ガットショット,bet,Bet 4,5
QcAdKh,Td8d,5,ガットショット,bet,Bet 4,5
Ks7h2d,Jd9s,2,エア,bet,Bet 2,5
Ks7h2d,As5h,2,エア,bet,Bet 2,5
7d6c4h,Td9d,5,ガットショット,bet,Bet 2,5
8h8cTc,Kc9s,2,バックドアドロー,bet,Bet 2,5
JcJh4s,AcKd,2,エア,bet,Bet 2,5
QcAdKh,Tc7c,5,ガットショット,bet,Bet 4,5
QcAdKh,JsJc,5,弱ペア/ボトムペア,bet,Bet 4,5
Js8d3c,Ah3h,5,弱ペア/ボトムペア,bet,Bet 2,5
Td6h4h,KhQc,2,バックドアドロー,bet,Bet 4,5
Th3s2d,Jh5h,2,バックドアドロー,bet,Bet 4,5
8h8cTc,Jh5h,2,バックドアドロー,bet,Bet 2,5
QcAdKh,TsTc,5,弱ペア/ボトムペア,bet,Bet 4,5
Th4c5d,Ac6s,2,バックドアドロー,bet,Bet 4,5
8h8cTc,Qh7h,2,バックドアドロー,bet,Bet 2,5
Jh4h5s,Ah7c,2,バックドアドロー,bet,Bet 4,5
Ks7h2d,As4s,2,バックドアドロー,bet,Bet 2,5
4s4h3h,Td9h,2,バックドアドロー,bet,Bet 2,5
9s7s4c,QsTc,2,バックドアドロー,bet,Bet 4,5
TsKcAh,Jc9d,5,ガットショット,bet,Bet 4,5
Td6h4h,QdJd,2,バックドアドロー,bet,Bet 4,5
AcKs7d,JcTc,5,ガットショット,bet,Bet 4,5
JcJh4s,AsKs,2,バックドアドロー,bet,Bet 2,5
AcKs7d,9s6s,2,バックドアドロー,bet,Bet 4,5
8h8cTc,Ac6s,2,バックドアドロー,bet,Bet 2,5
5c2d3h,Jh9d,2,エア,bet,Bet 2,5
5c2d3h,Qh2h,5,弱ペア/ボトムペア,bet,Bet 2,5
Th3s2d,QsJc,2,バックドアドロー,bet,Bet 4,5
8h8cTc,Ad6c,2,バックドアドロー,bet,Bet 2,5
JcJh4s,Kd2d,2,エア,bet,Bet 2,5
TsKcAh,Qh9c,5,ガットショット,bet,Bet 4,5
5c5dAh,Kh4h,2,バックドアドロー,bet,Bet 2,5
QcAdKh,Jd7d,5,ガットショット,bet,Bet 4,5
Jh4h5s,Ks8h,2,バックドアドロー,bet,Bet 4,5
9s7s4c,2s2d,5,弱ペア/ボトムペア,bet,Bet 4,5
Td6h4h,Ad4d,5,弱ペア/ボトムペア,bet,Bet 4,5
5c2d3h,AhQh,5,ガットショット,bet,Bet 2,5
7d6c4h,Kd8d,5,ガットショット,bet,Bet 2,5
JcJh4s,Qh9s,2,エア,bet,Bet 2,5
AcKs7d,Jc9c,2,バックドアドロー,bet,Bet 4,5
5c5dAh,8d6d,2,バックドアドロー,bet,Bet 2,5
QcAdKh,TsTh,5,弱ペア/ボトムペア,bet,Bet 4,5
Th4c5d,Jc9c,2,バックドアドロー,bet,Bet 4,5
Td6h4h,6d5d,5,セカンドペア弱,bet,Bet 4,5
5c5dAh,9s6s,2,エア,bet,Bet 2,5
5c5dAh,9c8c,2,バックドアドロー,bet,Bet 2,5
Td6h4h,Ah7c,2,バックドアドロー,bet,Bet 4,5
6s8d7c,Qs2s,2,バックドアドロー,bet,Bet 2,5
9s7s4c,Jc5c,2,バックドアドロー,bet,Bet 4,5
4s4h3h,QhTs,2,バックドアドロー,bet,Bet 2,5
QcAdKh,Jh7h,5,ガットショット,bet,Bet 4,5
6s8d7c,Ad4s,5,ガットショット,bet,Bet 2,5
QcAdKh,Jd9h,5,ガットショット,bet,Bet 4,5
Jh4h5s,Ah3s,5,ガットショット,bet,Bet 4,5
Th3s2d,Ah6c,2,バックドアドロー,bet,Bet 4,5
AcKs7d,3s3d,5,弱ペア/ボトムペア,bet,Bet 4,5
Jh4h5s,QhTd,2,バックドアドロー,bet,Bet 4,5
9s7s4c,Jc5c,2,バックドアドロー,bet,Bet 4,5
Js8d3c,Ad3h,5,弱ペア/ボトムペア,bet,Bet 2,5
JcJh4s,Qd3d,2,エア,bet,Bet 2,5
Jh4h5s,Ah8c,2,バックドアドロー,bet,Bet 4,5
4s4h3h,9s8s,2,バックドアドロー,bet,Bet 2,5
5c5dAh,8d6d,2,バックドアドロー,bet,Bet 2,5
Td6h4h,Ah5d,2,バックドアドロー,bet,Bet 4,5
5c2d3h,Td9c,2,エア,bet,Bet 2,5
5c5dAh,Th8h,2,バックドアドロー,bet,Bet 2,5
Js8d3c,Qd9s,5,ガットショット,bet,Bet 2,5
8h8cTc,Qd9c,5,ガットショット,bet,Bet 2,5
8h8cTc,Ah5c,2,バックドアドロー,bet,Bet 2,5
Ad9h8h,KsJh,2,バックドアドロー,bet,Bet 4,5
9s7s4c,QhTc,2,エア,bet,Bet 4,5
5c5dAh,Qs4s,2,エア,bet,Bet 2,5
Ad9h8h,2h2c,5,弱ペア/ボトムペア,bet,Bet 4,5
Ks7h2d,Jd9h,2,エア,bet,Bet 2,5
7d6c4h,Ah3d,5,ガットショット,bet,Bet 2,5
Jh4h5s,Ac3h,5,ガットショット,bet,Bet 4,5
9s7s4c,QcTs,2,バックドアドロー,bet,Bet 4,5
5c2d3h,Th6h,5,ガットショット,bet,Bet 2,5
Th3s2d,Ad6c,2,バックドアドロー,bet,Bet 4,5
8h8cTc,AcKs,2,バックドアドロー,bet,Bet 2,5
Ks7h2d,8h8d,5,弱ペア/ボトムペア,bet,Bet 2,5
7d6c4h,Kd4d,5,弱ペア/ボトムペア,bet,Bet 2,5
Th4c5d,As3d,5,ガットショット,bet,Bet 4,5
6s8d7c,QdJc,2,バックドアドロー,bet,Bet 2,5
4s4h3h,Kh9d,2,バックドアドロー,bet,Bet 2,5
6s8d7c,Ad4s,5,ガットショット,bet,Bet 2,5
Jh4h5s,Kd8h,2,バックドアドロー,bet,Bet 4,5
Ks7h2d,9s8s,2,バックドアドロー,bet,Bet 2,5
Th4c5d,8h7h,5,ガットショット,bet,Bet 4,5
Js8d3c,Kc9d,2,エア,bet,Bet 2,5
JcJh4s,Kc9h,2,エア,bet,Bet 2,5
Ks7h2d,9s8s,2,バックドアドロー,bet,Bet 2,5
Td6h4h,KhJd,2,バックドアドロー,bet,Bet 4,5
QcAdKh,Th7h,5,ガットショット,bet,Bet 4,5
Ks7h2d,Ad4h,2,エア,bet,Bet 2,5
Ad9h8h,QcTh,5,ガットショット,bet,Bet 4,5
QcAdKh,Jd9s,5,ガットショット,bet,Bet 4,5
JcJh4s,As3d,2,エア,bet,Bet 2,5
Ad9h8h,Jd6d,2,バックドアドロー,bet,Bet 4,5
8h8cTc,Qs9c,5,ガットショット,bet,Bet 2,5
Ks7h2d,AdJd,2,バックドアドロー,bet,Bet 2,5
Ks7h2d,4h4d,5,弱ペア/ボトムペア,bet,Bet 2,5
Th4c5d,KhJd,2,エア,bet,Bet 4,5
5c2d3h,Ah6h,5,ガットショット,bet,Bet 2,5
8h8cTc,Ac7s,2,バックドアドロー,bet,Bet 2,5
Ad9h8h,KdTh,2,バックドアドロー,bet,Bet 4,5
Ks7h2d,AhJs,2,エア,bet,Bet 2,5
QcAdKh,JsJc,5,弱ペア/ボトムペア,bet,Bet 4,5
Th3s2d,Ah6c,2,バックドアドロー,bet,Bet 4,5
AcKs7d,QcJc,5,ガットショット,bet,Bet 4,5
Js8d3c,KsQd,2,バックドアドロー,bet,Bet 2,5
7d6c4h,Ah3d,5,ガットショット,bet,Bet 2,5
Js8d3c,Kd3d,5,弱ペア/ボトムペア,bet,Bet 2,5
Ks7h2d,AhJd,2,エア,bet,Bet 2,5
6s8d7c,JsTh,5,ガットショット,bet,Bet 2,5
Jh4h5s,Kh9c,2,バックドアドロー,bet,Bet 4,5
JsKs5d,Tc8s,2,バックドアドロー,bet,Bet 4,5
6s8d7c,AsKc,2,バックドアドロー,bet,Bet 2,5
JcJh4s,Qs5s,2,バックドアドロー,bet,Bet 2,5
Js8d3c,QsTs,5,ガットショット,bet,Bet 2,5
Th4c5d,Ad6s,2,バックドアドロー,bet,Bet 4,5
Ks7h2d,Ah3c,2,バックドアドロー,bet,Bet 2,5
6s8d7c,JhTd,5,ガットショット,bet,Bet 2,5
Js8d3c,Ac3h,5,弱ペア/ボトムペア,bet,Bet 2,5
Ad9h8h,KcTh,2,バックドアドロー,bet,Bet 4,5
4s4h3h,Qh9d,2,バックドアドロー,bet,Bet 2,5
Js8d3c,Qd9c,5,ガットショット,bet,Bet 2,5
Ks7h2d,5d4d,2,バックドアドロー,bet,Bet 2,5
4s4h3h,Kc2c,2,バックドアドロー,bet,Bet 2,5
5c5dAh,Qs3s,2,エア,bet,Bet 2,5
JcJh4s,Ah3c,2,エア,bet,Bet 2,5
6s8d7c,JsTs,5,ガットショット,bet,Bet 2,5
8h8cTc,KdJd,2,エア,bet,Bet 2,5
AcKs7d,JcTh,5,ガットショット,bet,Bet 4,5
9s7s4c,JsTh,5,ガットショット,bet,Bet 4,5
Ks7h2d,Ah5s,2,エア,bet,Bet 2,5
JcJh4s,As3d,2,エア,bet,Bet 2,5
5c2d3h,AdKc,5,ガットショット,bet,Bet 2,5
Th3s2d,QhJc,2,バックドアドロー,bet,Bet 4,5
4s4h3h,Jd5d,2,バックドアドロー,bet,Bet 2,5
9s7s4c,JhTs,5,ガットショット,bet,Bet 4,5
Js8d3c,Ts8s,5,セカンドペア弱,bet,Bet 2,5
6s8d7c,As4d,5,ガットショット,bet,Bet 2,5
AcKs7d,JhTc,5,ガットショット,bet,Bet 4,5
JsKs5d,Ah3s,2,バックドアドロー,bet,Bet 4,5
Ks7h2d,AhJd,2,エア,bet,Bet 2,5
Js8d3c,QhTc,5,ガットショット,bet,Bet 2,5
7d6c4h,Kh9c,2,エア,bet,Bet 2,5
Js8d3c,Ah3h,5,弱ペア/ボトムペア,bet,Bet 2,5
TsKcAh,Qc9d,5,ガットショット,bet,Bet 4,5
Td6h4h,Ah3s,2,バックドアドロー,bet,Bet 4,5
AcKs7d,Jd9d,2,バックドアドロー,bet,Bet 4,5
Js8d3c,KcTd,2,エア,bet,Bet 2,5
QcAdKh,Jd7d,5,ガットショット,bet,Bet 4,5
7d6c4h,Kc9h,2,エア,bet,Bet 2,5
JcJh4s,Ts8c,2,エア,bet,Bet 2,5
TsKcAh,Js9d,5,ガットショット,bet,Bet 4,5
Js8d3c,KcTs,2,エア,bet,Bet 2,5
Js8d3c,QsTs,5,ガットショット,bet,Bet 2,5
Js8d3c,As9c,2,エア,bet,Bet 2,5
Th4c5d,QdJd,2,バックドアドロー,bet,Bet 4,5
4s4h3h,Qs9h,2,バックドアドロー,bet,Bet 2,5
6s8d7c,AdQc,2,バックドアドロー,bet,Bet 2,5
