board,holding,hand_score,category,action,correct_decision,pot_size,hs_bin
Ad9h8h,AhQc,67,TPGK+BDFD,check,Check,5,"[65, 70)"
Ad8d3d,6h6d,71,アンダーペア(低)+FD,check,Check,5,"[70, 75)"
5c5dAh,KsKd,68,2ペア(split),check,Check,5,"[65, 70)"
8h8cTc,4s4d,68,2ペア(split),check,Check,5,"[65, 70)"
9dTs8s,7h7c,67,アンダーペア(低)+OESD,check,Check,5,"[65, 70)"
6s8d7c,AdAc,79,オーバーペア(高)+BDSD,check,Check,5,"[75, 80)"
Ad8d3d,7h7d,71,アンダーペア(低)+FD,check,Check,5,"[70, 75)"
6s8d7c,5d5c,67,アンダーペア(低)+OESD,check,Check,5,"[65, 70)"
Ad8d3d,KhKd,81,アンダーペア(高)+FD,check,Check,5,"[80, 85)"
6s8d7c,Ad4d,73,Aハイ+BDFD+GS,check,Check,5,"[70, 75)"
8h8cTc,5s5h,68,2ペア(split),check,Check,5,"[65, 70)"
9dTs8s,7h7d,67,アンダーペア(低)+OESD,check,Check,5,"[65, 70)"
6s8d7c,Ac4c,73,Aハイ+BDFD+GS,check,Check,5,"[70, 75)"
Jh4h5s,KhJs,75,TPTK+BDFD,check,Check,5,"[75, 80)"
5c5dAh,As4c,78,2ペア(top2),check,Check,5,"[75, 80)"
QcAdKh,AhTc,66,TPMK+GS,check,Check,5,"[65, 70)"
Qc8cAc,JdJc,76,アンダーペア(中)+FD,check,Check,5,"[75, 80)"
Jh4h5s,KhJd,75,TPTK+BDFD,check,Check,5,"[75, 80)"
Td6h4h,KsKc,78,オーバーペア(高),check,Check,5,"[75, 80)"
Jh4h5s,KhJs,75,TPTK+BDFD,check,Check,5,"[75, 80)"
Ad8d3d,Ah6d,81,TPWK+FD,check,Check,5,"[80, 85)"
JcJh4s,AsAc,68,2ペア(split),check,Check,5,"[65, 70)"
9dTs8s,Td6d,93,TPWK+BDFD+GS,check,Check,5,"[90, 95)"
9dTs8s,Jd8d,82,ボトムペア+BDFD+OESD,check,Check,5,"[80, 85)"
6s8d7c,AsAh,79,オーバーペア(高)+BDSD,check,Check,5,"[75, 80)"
4s4h3h,As2s,73,Aハイ+BDFD+GS,check,Check,5,"[70, 75)"
