board,holding,hand_score,category,action,correct_decision,pot_size,hs_bin
Th3s2d,Jh5h,15,Jハイ+BDFD,bet,Bet 4,5,"[15, 20)"
8h8cTc,Jh5h,15,Jハイ+BDFD,bet,Bet 2,5,"[15, 20)"
8h8cTc,Qh7h,20,Qハイ+BDFD,bet,Bet 2,5,"[20, 25)"
AcKs7d,9s6s,13,空振り+BDFD,bet,Bet 4,5,"[10, 15)"
JcJh4s,Kd2d,20,Kハイ,bet,Bet 2,5,"[20, 25)"
5c5dAh,Kh4h,25,Kハイ+BDFD,bet,Bet 2,5,"[25, 30)"
Jh4h5s,Ks8h,25,Kハイ+BDFD,bet,Bet 4,5,"[25, 30)"
JcJh4s,Qh9s,15,Qハイ,bet,Bet 2,5,"[15, 20)"
AcKs7d,Jc9c,15,Jハイ+BDFD,bet,Bet 4,5,"[15, 20)"
5c5dAh,8d6d,13,空振り+BDFD,bet,Bet 2,5,"[10, 15)"
Th4c5d,Jc9c,16,Jハイ+BDFD+BDSD,bet,Bet 4,5,"[15, 20)"
5c5dAh,9s6s,8,空振り,bet,Bet 2,5,"[5, 10)"
5c5dAh,9c8c,13,空振り+BDFD,bet,Bet 2,5,"[10, 15)"
6s8d7c,Qs2s,21,Qハイ+BDFD+BDSD,bet,Bet 2,5,"[20, 25)"
9s7s4c,Jc5c,15,Jハイ+BDFD,bet,Bet 4,5,"[15, 20)"
Jh4h5s,QhTd,21,Qハイ+BDFD+BDSD,bet,Bet 4,5,"[20, 25)"
9s7s4c,Jc5c,15,Jハイ+BDFD,bet,Bet 4,5,"[15, 20)"
JcJh4s,Qd3d,15,Qハイ,bet,Bet 2,5,"[15, 20)"
5c5dAh,8d6d,13,空振り+BDFD,bet,Bet 2,5,"[10, 15)"
5c5dAh,Th8h,13,空振り+BDFD,bet,Bet 2,5,"[10, 15)"
Ad9h8h,KsJh,25,Kハイ+BDFD,bet,Bet 4,5,"[25, 30)"
5c5dAh,Qs4s,15,Qハイ,bet,Bet 2,5,"[15, 20)"
Ks7h2d,Jd9h,10,Jハイ,bet,Bet 2,5,"[10, 15)"
Jh4h5s,Kd8h,25,Kハイ+BDFD,bet,Bet 4,5,"[25, 30)"
Ks7h2d,9s8s,14,空振り+BDFD+BDSD,bet,Bet 2,5,"[10, 15)"
Js8d3c,Kc9d,20,Kハイ,bet,Bet 2,5,"[20, 25)"
JcJh4s,Kc9h,20,Kハイ,bet,Bet 2,5,"[20, 25)"
Ks7h2d,9s8s,14,空振り+BDFD+BDSD,bet,Bet 2,5,"[10, 15)"
Ks7h2d,Ad4h,25,Aハイ,bet,Bet 2,5,"[25, 30)"
JcJh4s,As3d,25,Aハイ,bet,Bet 2,5,"[25, 30)"
Ad9h8h,Jd6d,15,Jハイ+BDFD,bet,Bet 4,5,"[15, 20)"
Ks7h2d,AhJs,25,Aハイ,bet,Bet 2,5,"[25, 30)"
Ks7h2d,AhJd,25,Aハイ,bet,Bet 2,5,"[25, 30)"
Jh4h5s,Kh9c,25,Kハイ+BDFD,bet,Bet 4,5,"[25, 30)"
JsKs5d,Tc8s,13,空振り+BDFD,bet,Bet 4,5,"[10, 15)"
JcJh4s,Qs5s,20,Qハイ+BDFD,bet,Bet 2,5,"[20, 25)"
Ks7h2d,5d4d,13,空振り+BDFD,bet,Bet 2,5,"[10, 15)"
4s4h3h,Kc2c,22,Kハイ+BDSD,bet,Bet 2,5,"[20, 25)"
5c5dAh,Qs3s,15,Qハイ,bet,Bet 2,5,"[15, 20)"
JcJh4s,Ah3c,25,Aハイ,bet,Bet 2,5,"[25, 30)"
Ks7h2d,Ah5s,25,Aハイ,bet,Bet 2,5,"[25, 30)"
JcJh4s,As3d,25,Aハイ,bet,Bet 2,5,"[25, 30)"
Ks7h2d,AhJd,25,Aハイ,bet,Bet 2,5,"[25, 30)"
AcKs7d,Jd9d,15,Jハイ+BDFD,bet,Bet 4,5,"[15, 20)"
Js8d3c,KcTd,20,Kハイ,bet,Bet 2,5,"[20, 25)"
JcJh4s,Ts8c,8,空振り,bet,Bet 2,5,"[5, 10)"
Js8d3c,KcTs,20,Kハイ,bet,Bet 2,5,"[20, 25)"
Js8d3c,As9c,25,Aハイ,bet,Bet 2,5,"[25, 30)"
