id,topic,gametype,depth,stacks,preflop_actions,flop_actions,turn_actions,river_actions,board,ctx,board_family,opener,caller,preflop_label,size_config,doc,note
E0011,design_flop_cbet_def_small_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1,,,Ks7d7c,flop_cbet_def_small,paired,BTN,BB,BTNvBB,MTT_200bb,Face flop small cbet,flop_cbet_def_small paired BTNvBB MTT_200bb
E0012,design_flop_cbet_def_small_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1,,,9s9d4c,flop_cbet_def_small,paired,BTN,BB,BTNvBB,MTT_200bb,Face flop small cbet,flop_cbet_def_small paired BTNvBB MTT_200bb
E0013,design_flop_cbet_def_large_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R5.7,,,Ks7d2c,flop_cbet_def_large,dry_high,BTN,BB,BTNvBB,MTT_200bb,Face flop large cbet,flop_cbet_def_large dry_high BTNvBB MTT_200bb
E0014,design_flop_cbet_def_large_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R5.7,,,Qh8d3s,flop_cbet_def_large,dry_high,BTN,BB,BTNvBB,MTT_200bb,Face flop large cbet,flop_cbet_def_large dry_high BTNvBB MTT_200bb
E0015,design_flop_cbet_def_large_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R5.7,,,Ts9d7c,flop_cbet_def_large,dynamic,BTN,BB,BTNvBB,MTT_200bb,Face flop large cbet,flop_cbet_def_large dynamic BTNvBB MTT_200bb
E0016,design_flop_cbet_def_large_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R5.7,,,9h8d6c,flop_cbet_def_large,dynamic,BTN,BB,BTNvBB,MTT_200bb,Face flop large cbet,flop_cbet_def_large dynamic BTNvBB MTT_200bb
E0017,design_flop_cbet_def_large_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R5.7,,,Ts9s8d,flop_cbet_def_large,dynamic_2tone,BTN,BB,BTNvBB,MTT_200bb,Face flop large cbet,flop_cbet_def_large dynamic_2tone BTNvBB MTT_200bb
E0018,design_flop_cbet_def_large_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R5.7,,,9s8s6d,flop_cbet_def_large,dynamic_2tone,BTN,BB,BTNvBB,MTT_200bb,Face flop large cbet,flop_cbet_def_large dynamic_2tone BTNvBB MTT_200bb
E0019,design_flop_cbet_def_large_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R5.7,,,8s5h2c,flop_cbet_def_large,low_dry,BTN,BB,BTNvBB,MTT_200bb,Face flop large cbet,flop_cbet_def_large low_dry BTNvBB MTT_200bb
E0020,design_flop_cbet_def_large_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R5.7,,,9c6d4s,flop_cbet_def_large,low_dry,BTN,BB,BTNvBB,MTT_200bb,Face flop large cbet,flop_cbet_def_large low_dry BTNvBB MTT_200bb
E0021,design_flop_cbet_def_large_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R5.7,,,KsQsJs,flop_cbet_def_large,monotone,BTN,BB,BTNvBB,MTT_200bb,Face flop large cbet,flop_cbet_def_large monotone BTNvBB MTT_200bb
E0022,design_flop_cbet_def_large_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R5.7,,,Ts8s5s,flop_cbet_def_large,monotone,BTN,BB,BTNvBB,MTT_200bb,Face flop large cbet,flop_cbet_def_large monotone BTNvBB MTT_200bb
E0023,design_flop_cbet_def_large_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R5.7,,,Ks7d7c,flop_cbet_def_large,paired,BTN,BB,BTNvBB,MTT_200bb,Face flop large cbet,flop_cbet_def_large paired BTNvBB MTT_200bb
E0024,design_flop_cbet_def_large_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R5.7,,,9s9d4c,flop_cbet_def_large,paired,BTN,BB,BTNvBB,MTT_200bb,Face flop large cbet,flop_cbet_def_large paired BTNvBB MTT_200bb
E0025,design_turn_2nd_def_small_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R5.2,,Ks7d2cTh,turn_2nd_def_small,dry_high,BTN,BB,BTNvBB,MTT_200bb,Turn defense vs 50%,turn_2nd_def_small dry_high BTNvBB MTT_200bb
E0026,design_turn_2nd_def_small_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R5.2,,Qh8d3sTh,turn_2nd_def_small,dry_high,BTN,BB,BTNvBB,MTT_200bb,Turn defense vs 50%,turn_2nd_def_small dry_high BTNvBB MTT_200bb
E0027,design_turn_2nd_def_small_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R5.2,,Ts9d7c2c,turn_2nd_def_small,dynamic,BTN,BB,BTNvBB,MTT_200bb,Turn defense vs 50%,turn_2nd_def_small dynamic BTNvBB MTT_200bb
E0028,design_turn_2nd_def_small_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R5.2,,9h8d6c2c,turn_2nd_def_small,dynamic,BTN,BB,BTNvBB,MTT_200bb,Turn defense vs 50%,turn_2nd_def_small dynamic BTNvBB MTT_200bb
E0029,design_turn_2nd_def_small_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R5.2,,Ts9s8d2h,turn_2nd_def_small,dynamic_2tone,BTN,BB,BTNvBB,MTT_200bb,Turn defense vs 50%,turn_2nd_def_small dynamic_2tone BTNvBB MTT_200bb
E0030,design_turn_2nd_def_small_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R5.2,,9s8s6d2h,turn_2nd_def_small,dynamic_2tone,BTN,BB,BTNvBB,MTT_200bb,Turn defense vs 50%,turn_2nd_def_small dynamic_2tone BTNvBB MTT_200bb
E0031,design_turn_2nd_def_small_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R5.2,,8s5h2cTd,turn_2nd_def_small,low_dry,BTN,BB,BTNvBB,MTT_200bb,Turn defense vs 50%,turn_2nd_def_small low_dry BTNvBB MTT_200bb
E0032,design_turn_2nd_def_small_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R5.2,,9c6d4sTd,turn_2nd_def_small,low_dry,BTN,BB,BTNvBB,MTT_200bb,Turn defense vs 50%,turn_2nd_def_small low_dry BTNvBB MTT_200bb
E0033,design_turn_2nd_def_small_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R5.2,,KsQsJs2d,turn_2nd_def_small,monotone,BTN,BB,BTNvBB,MTT_200bb,Turn defense vs 50%,turn_2nd_def_small monotone BTNvBB MTT_200bb
E0034,design_turn_2nd_def_small_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R5.2,,Ts8s5s2d,turn_2nd_def_small,monotone,BTN,BB,BTNvBB,MTT_200bb,Turn defense vs 50%,turn_2nd_def_small monotone BTNvBB MTT_200bb
E0035,design_turn_2nd_def_small_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R5.2,,Ks7d7cTh,turn_2nd_def_small,paired,BTN,BB,BTNvBB,MTT_200bb,Turn defense vs 50%,turn_2nd_def_small paired BTNvBB MTT_200bb
E0036,design_turn_2nd_def_small_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R5.2,,9s9d4cTh,turn_2nd_def_small,paired,BTN,BB,BTNvBB,MTT_200bb,Turn defense vs 50%,turn_2nd_def_small paired BTNvBB MTT_200bb
E0037,design_turn_2nd_def_large_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R7.8,,Ks7d2cTh,turn_2nd_def_large,dry_high,BTN,BB,BTNvBB,MTT_200bb,Turn defense vs large,turn_2nd_def_large dry_high BTNvBB MTT_200bb
E0038,design_turn_2nd_def_large_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R7.8,,Qh8d3sTh,turn_2nd_def_large,dry_high,BTN,BB,BTNvBB,MTT_200bb,Turn defense vs large,turn_2nd_def_large dry_high BTNvBB MTT_200bb
E0039,design_turn_2nd_def_large_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R7.8,,Ts9d7c2c,turn_2nd_def_large,dynamic,BTN,BB,BTNvBB,MTT_200bb,Turn defense vs large,turn_2nd_def_large dynamic BTNvBB MTT_200bb
E0040,design_turn_2nd_def_large_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R7.8,,9h8d6c2c,turn_2nd_def_large,dynamic,BTN,BB,BTNvBB,MTT_200bb,Turn defense vs large,turn_2nd_def_large dynamic BTNvBB MTT_200bb
E0041,design_turn_2nd_def_large_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R7.8,,Ts9s8d2h,turn_2nd_def_large,dynamic_2tone,BTN,BB,BTNvBB,MTT_200bb,Turn defense vs large,turn_2nd_def_large dynamic_2tone BTNvBB MTT_200bb
E0042,design_turn_2nd_def_large_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R7.8,,9s8s6d2h,turn_2nd_def_large,dynamic_2tone,BTN,BB,BTNvBB,MTT_200bb,Turn defense vs large,turn_2nd_def_large dynamic_2tone BTNvBB MTT_200bb
E0043,design_turn_2nd_def_large_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R7.8,,8s5h2cTd,turn_2nd_def_large,low_dry,BTN,BB,BTNvBB,MTT_200bb,Turn defense vs large,turn_2nd_def_large low_dry BTNvBB MTT_200bb
E0044,design_turn_2nd_def_large_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R7.8,,9c6d4sTd,turn_2nd_def_large,low_dry,BTN,BB,BTNvBB,MTT_200bb,Turn defense vs large,turn_2nd_def_large low_dry BTNvBB MTT_200bb
E0045,design_turn_2nd_def_large_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R7.8,,KsQsJs2d,turn_2nd_def_large,monotone,BTN,BB,BTNvBB,MTT_200bb,Turn defense vs large,turn_2nd_def_large monotone BTNvBB MTT_200bb
E0046,design_turn_2nd_def_large_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R7.8,,Ts8s5s2d,turn_2nd_def_large,monotone,BTN,BB,BTNvBB,MTT_200bb,Turn defense vs large,turn_2nd_def_large monotone BTNvBB MTT_200bb
E0047,design_turn_2nd_def_large_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R7.8,,Ks7d7cTh,turn_2nd_def_large,paired,BTN,BB,BTNvBB,MTT_200bb,Turn defense vs large,turn_2nd_def_large paired BTNvBB MTT_200bb
E0048,design_turn_2nd_def_large_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R7.8,,9s9d4cTh,turn_2nd_def_large,paired,BTN,BB,BTNvBB,MTT_200bb,Turn defense vs large,turn_2nd_def_large paired BTNvBB MTT_200bb
E0049,design_turn_probe_def_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,X-R5.2,,Ks7d2cTh,turn_probe_def,dry_high,BTN,BB,BTNvBB,MTT_200bb,Turn defense vs probe,turn_probe_def dry_high BTNvBB MTT_200bb
E0050,design_turn_probe_def_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,X-R5.2,,Qh8d3sTh,turn_probe_def,dry_high,BTN,BB,BTNvBB,MTT_200bb,Turn defense vs probe,turn_probe_def dry_high BTNvBB MTT_200bb
E0051,design_turn_probe_def_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,X-R5.2,,Ts9d7c2c,turn_probe_def,dynamic,BTN,BB,BTNvBB,MTT_200bb,Turn defense vs probe,turn_probe_def dynamic BTNvBB MTT_200bb
E0052,design_turn_probe_def_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,X-R5.2,,9h8d6c2c,turn_probe_def,dynamic,BTN,BB,BTNvBB,MTT_200bb,Turn defense vs probe,turn_probe_def dynamic BTNvBB MTT_200bb
E0053,design_turn_probe_def_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,X-R5.2,,Ts9s8d2h,turn_probe_def,dynamic_2tone,BTN,BB,BTNvBB,MTT_200bb,Turn defense vs probe,turn_probe_def dynamic_2tone BTNvBB MTT_200bb
E0054,design_turn_probe_def_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,X-R5.2,,9s8s6d2h,turn_probe_def,dynamic_2tone,BTN,BB,BTNvBB,MTT_200bb,Turn defense vs probe,turn_probe_def dynamic_2tone BTNvBB MTT_200bb
E0055,design_turn_probe_def_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,X-R5.2,,8s5h2cTd,turn_probe_def,low_dry,BTN,BB,BTNvBB,MTT_200bb,Turn defense vs probe,turn_probe_def low_dry BTNvBB MTT_200bb
E0056,design_turn_probe_def_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,X-R5.2,,9c6d4sTd,turn_probe_def,low_dry,BTN,BB,BTNvBB,MTT_200bb,Turn defense vs probe,turn_probe_def low_dry BTNvBB MTT_200bb
E0057,design_turn_probe_def_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,X-R5.2,,KsQsJs2d,turn_probe_def,monotone,BTN,BB,BTNvBB,MTT_200bb,Turn defense vs probe,turn_probe_def monotone BTNvBB MTT_200bb
E0058,design_turn_probe_def_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,X-R5.2,,Ts8s5s2d,turn_probe_def,monotone,BTN,BB,BTNvBB,MTT_200bb,Turn defense vs probe,turn_probe_def monotone BTNvBB MTT_200bb
E0059,design_turn_probe_def_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,X-R5.2,,Ks7d7cTh,turn_probe_def,paired,BTN,BB,BTNvBB,MTT_200bb,Turn defense vs probe,turn_probe_def paired BTNvBB MTT_200bb
E0060,design_turn_probe_def_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,X-R5.2,,9s9d4cTh,turn_probe_def,paired,BTN,BB,BTNvBB,MTT_200bb,Turn defense vs probe,turn_probe_def paired BTNvBB MTT_200bb
E0061,design_flop_cbet_def_small_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-R2.3-F-F-C,X-R2.1,,,Ks7d2c,flop_cbet_def_small,dry_high,CO,BB,COvBB,MTT_200bb,Face flop small cbet,flop_cbet_def_small dry_high COvBB MTT_200bb
E0062,design_flop_cbet_def_small_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-R2.3-F-F-C,X-R2.1,,,Qh8d3s,flop_cbet_def_small,dry_high,CO,BB,COvBB,MTT_200bb,Face flop small cbet,flop_cbet_def_small dry_high COvBB MTT_200bb
E0063,design_flop_cbet_def_small_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-R2.3-F-F-C,X-R2.1,,,Ts9d7c,flop_cbet_def_small,dynamic,CO,BB,COvBB,MTT_200bb,Face flop small cbet,flop_cbet_def_small dynamic COvBB MTT_200bb
E0064,design_flop_cbet_def_small_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-R2.3-F-F-C,X-R2.1,,,9h8d6c,flop_cbet_def_small,dynamic,CO,BB,COvBB,MTT_200bb,Face flop small cbet,flop_cbet_def_small dynamic COvBB MTT_200bb
E0065,design_flop_cbet_def_small_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-R2.3-F-F-C,X-R2.1,,,Ts9s8d,flop_cbet_def_small,dynamic_2tone,CO,BB,COvBB,MTT_200bb,Face flop small cbet,flop_cbet_def_small dynamic_2tone COvBB MTT_200bb
E0066,design_flop_cbet_def_small_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-R2.3-F-F-C,X-R2.1,,,9s8s6d,flop_cbet_def_small,dynamic_2tone,CO,BB,COvBB,MTT_200bb,Face flop small cbet,flop_cbet_def_small dynamic_2tone COvBB MTT_200bb
E0067,design_flop_cbet_def_small_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-R2.3-F-F-C,X-R2.1,,,8s5h2c,flop_cbet_def_small,low_dry,CO,BB,COvBB,MTT_200bb,Face flop small cbet,flop_cbet_def_small low_dry COvBB MTT_200bb
E0068,design_flop_cbet_def_small_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-R2.3-F-F-C,X-R2.1,,,9c6d4s,flop_cbet_def_small,low_dry,CO,BB,COvBB,MTT_200bb,Face flop small cbet,flop_cbet_def_small low_dry COvBB MTT_200bb
E0069,design_flop_cbet_def_small_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-R2.3-F-F-C,X-R2.1,,,KsQsJs,flop_cbet_def_small,monotone,CO,BB,COvBB,MTT_200bb,Face flop small cbet,flop_cbet_def_small monotone COvBB MTT_200bb
E0070,design_flop_cbet_def_small_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-R2.3-F-F-C,X-R2.1,,,Ts8s5s,flop_cbet_def_small,monotone,CO,BB,COvBB,MTT_200bb,Face flop small cbet,flop_cbet_def_small monotone COvBB MTT_200bb
E0071,design_flop_cbet_def_small_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-R2.3-F-F-C,X-R2.1,,,Ks7d7c,flop_cbet_def_small,paired,CO,BB,COvBB,MTT_200bb,Face flop small cbet,flop_cbet_def_small paired COvBB MTT_200bb
E0072,design_flop_cbet_def_small_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-R2.3-F-F-C,X-R2.1,,,9s9d4c,flop_cbet_def_small,paired,CO,BB,COvBB,MTT_200bb,Face flop small cbet,flop_cbet_def_small paired COvBB MTT_200bb
E0073,design_flop_cbet_def_large_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-R2.3-F-F-C,X-R5.7,,,Ks7d2c,flop_cbet_def_large,dry_high,CO,BB,COvBB,MTT_200bb,Face flop large cbet,flop_cbet_def_large dry_high COvBB MTT_200bb
E0074,design_flop_cbet_def_large_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-R2.3-F-F-C,X-R5.7,,,Qh8d3s,flop_cbet_def_large,dry_high,CO,BB,COvBB,MTT_200bb,Face flop large cbet,flop_cbet_def_large dry_high COvBB MTT_200bb
E0075,design_flop_cbet_def_large_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-R2.3-F-F-C,X-R5.7,,,Ts9d7c,flop_cbet_def_large,dynamic,CO,BB,COvBB,MTT_200bb,Face flop large cbet,flop_cbet_def_large dynamic COvBB MTT_200bb
E0076,design_flop_cbet_def_large_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-R2.3-F-F-C,X-R5.7,,,9h8d6c,flop_cbet_def_large,dynamic,CO,BB,COvBB,MTT_200bb,Face flop large cbet,flop_cbet_def_large dynamic COvBB MTT_200bb
E0077,design_flop_cbet_def_large_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-R2.3-F-F-C,X-R5.7,,,Ts9s8d,flop_cbet_def_large,dynamic_2tone,CO,BB,COvBB,MTT_200bb,Face flop large cbet,flop_cbet_def_large dynamic_2tone COvBB MTT_200bb
E0078,design_flop_cbet_def_large_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-R2.3-F-F-C,X-R5.7,,,9s8s6d,flop_cbet_def_large,dynamic_2tone,CO,BB,COvBB,MTT_200bb,Face flop large cbet,flop_cbet_def_large dynamic_2tone COvBB MTT_200bb
E0079,design_flop_cbet_def_large_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-R2.3-F-F-C,X-R5.7,,,8s5h2c,flop_cbet_def_large,low_dry,CO,BB,COvBB,MTT_200bb,Face flop large cbet,flop_cbet_def_large low_dry COvBB MTT_200bb
E0080,design_flop_cbet_def_large_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-R2.3-F-F-C,X-R5.7,,,9c6d4s,flop_cbet_def_large,low_dry,CO,BB,COvBB,MTT_200bb,Face flop large cbet,flop_cbet_def_large low_dry COvBB MTT_200bb
E0081,design_flop_cbet_def_large_MTT_200bb,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-R2.3-F-F-C,X-R5.7,,,KsQsJs,flop_cbet_def_large,monotone,CO,BB,COvBB,MTT_200bb,Face flop large cbet,flop_cbet_def_large monotone COvBB MTT_200bb
