id,topic,gametype,depth,stacks,preflop_actions,flop_actions,turn_actions,river_actions,board,ctx,board_family,opener,caller,note
D0020,design_flop_cbet_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1,,,Ks7d2c,flop_cbet_defense,dry_high,BTN,BB,flop_cbet_defense dry_high BTNvBB
D0021,design_flop_cbet_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1,,,Qh8d3s,flop_cbet_defense,dry_high,BTN,BB,flop_cbet_defense dry_high BTNvBB
D0022,design_flop_cbet_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1,,,Js5c2h,flop_cbet_defense,dry_high,BTN,BB,flop_cbet_defense dry_high BTNvBB
D0023,design_flop_cbet_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1,,,Ts9d7c,flop_cbet_defense,dynamic,BTN,BB,flop_cbet_defense dynamic BTNvBB
D0024,design_flop_cbet_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1,,,9h8d6c,flop_cbet_defense,dynamic,BTN,BB,flop_cbet_defense dynamic BTNvBB
D0025,design_flop_cbet_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1,,,8c7d5s,flop_cbet_defense,dynamic,BTN,BB,flop_cbet_defense dynamic BTNvBB
D0026,design_flop_cbet_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1,,,Ts9s8d,flop_cbet_defense,dynamic_2tone,BTN,BB,flop_cbet_defense dynamic_2tone BTNvBB
D0027,design_flop_cbet_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1,,,9s8s6d,flop_cbet_defense,dynamic_2tone,BTN,BB,flop_cbet_defense dynamic_2tone BTNvBB
D0028,design_flop_cbet_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1,,,7s6s5d,flop_cbet_defense,dynamic_2tone,BTN,BB,flop_cbet_defense dynamic_2tone BTNvBB
D0029,design_flop_cbet_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1,,,8s5h2c,flop_cbet_defense,low_dry,BTN,BB,flop_cbet_defense low_dry BTNvBB
D0030,design_flop_cbet_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1,,,9c6d4s,flop_cbet_defense,low_dry,BTN,BB,flop_cbet_defense low_dry BTNvBB
D0031,design_flop_cbet_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1,,,7h4d2c,flop_cbet_defense,low_dry,BTN,BB,flop_cbet_defense low_dry BTNvBB
D0032,design_flop_cbet_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1,,,KsQsJs,flop_cbet_defense,monotone,BTN,BB,flop_cbet_defense monotone BTNvBB
D0033,design_flop_cbet_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1,,,Ts8s5s,flop_cbet_defense,monotone,BTN,BB,flop_cbet_defense monotone BTNvBB
D0034,design_flop_cbet_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1,,,9s7s4s,flop_cbet_defense,monotone,BTN,BB,flop_cbet_defense monotone BTNvBB
D0035,design_flop_cbet_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1,,,Ks7d7c,flop_cbet_defense,paired,BTN,BB,flop_cbet_defense paired BTNvBB
D0036,design_flop_cbet_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1,,,Th7s7d,flop_cbet_defense,paired,BTN,BB,flop_cbet_defense paired BTNvBB
D0037,design_flop_cbet_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1,,,9s9d4c,flop_cbet_defense,paired,BTN,BB,flop_cbet_defense paired BTNvBB
D0038,design_flop_cbet_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1,,,KsKd2c,flop_cbet_defense,paired,BTN,BB,flop_cbet_defense paired BTNvBB
D0039,design_turn_2nd_barrel,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,,,Ks7d2cTh,turn_2nd_barrel,dry_high,BTN,BB,turn_2nd_barrel dry_high BTNvBB
D0040,design_turn_2nd_barrel,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,,,Qh8d3sTh,turn_2nd_barrel,dry_high,BTN,BB,turn_2nd_barrel dry_high BTNvBB
D0041,design_turn_2nd_barrel,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,,,Js5c2hTh,turn_2nd_barrel,dry_high,BTN,BB,turn_2nd_barrel dry_high BTNvBB
D0042,design_turn_2nd_barrel,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,,,Ts9d7c2c,turn_2nd_barrel,dynamic,BTN,BB,turn_2nd_barrel dynamic BTNvBB
D0043,design_turn_2nd_barrel,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,,,9h8d6c2c,turn_2nd_barrel,dynamic,BTN,BB,turn_2nd_barrel dynamic BTNvBB
D0044,design_turn_2nd_barrel,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,,,8c7d5s2c,turn_2nd_barrel,dynamic,BTN,BB,turn_2nd_barrel dynamic BTNvBB
D0045,design_turn_2nd_barrel,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,,,Ts9s8d2h,turn_2nd_barrel,dynamic_2tone,BTN,BB,turn_2nd_barrel dynamic_2tone BTNvBB
D0046,design_turn_2nd_barrel,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,,,9s8s6d2h,turn_2nd_barrel,dynamic_2tone,BTN,BB,turn_2nd_barrel dynamic_2tone BTNvBB
D0047,design_turn_2nd_barrel,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,,,7s6s5d2h,turn_2nd_barrel,dynamic_2tone,BTN,BB,turn_2nd_barrel dynamic_2tone BTNvBB
D0048,design_turn_2nd_barrel,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,,,8s5h2cTd,turn_2nd_barrel,low_dry,BTN,BB,turn_2nd_barrel low_dry BTNvBB
D0049,design_turn_2nd_barrel,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,,,9c6d4sTd,turn_2nd_barrel,low_dry,BTN,BB,turn_2nd_barrel low_dry BTNvBB
D0050,design_turn_2nd_barrel,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,,,7h4d2cTd,turn_2nd_barrel,low_dry,BTN,BB,turn_2nd_barrel low_dry BTNvBB
D0051,design_turn_2nd_barrel,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,,,KsQsJs2d,turn_2nd_barrel,monotone,BTN,BB,turn_2nd_barrel monotone BTNvBB
D0052,design_turn_2nd_barrel,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,,,Ts8s5s2d,turn_2nd_barrel,monotone,BTN,BB,turn_2nd_barrel monotone BTNvBB
D0053,design_turn_2nd_barrel,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,,,9s7s4s2d,turn_2nd_barrel,monotone,BTN,BB,turn_2nd_barrel monotone BTNvBB
D0054,design_turn_2nd_barrel,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,,,Ks7d7cTh,turn_2nd_barrel,paired,BTN,BB,turn_2nd_barrel paired BTNvBB
D0055,design_turn_2nd_barrel,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,,,Th7s7d9c,turn_2nd_barrel,paired,BTN,BB,turn_2nd_barrel paired BTNvBB
D0056,design_turn_2nd_barrel,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,,,9s9d4cTh,turn_2nd_barrel,paired,BTN,BB,turn_2nd_barrel paired BTNvBB
D0057,design_turn_2nd_barrel,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,,,KsKd2cTh,turn_2nd_barrel,paired,BTN,BB,turn_2nd_barrel paired BTNvBB
D0058,design_turn_2nd_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R5.2,,Ks7d2cTh,turn_2nd_defense,dry_high,BTN,BB,turn_2nd_defense dry_high BTNvBB
D0059,design_turn_2nd_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R5.2,,Qh8d3sTh,turn_2nd_defense,dry_high,BTN,BB,turn_2nd_defense dry_high BTNvBB
D0060,design_turn_2nd_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R5.2,,Js5c2hTh,turn_2nd_defense,dry_high,BTN,BB,turn_2nd_defense dry_high BTNvBB
D0061,design_turn_2nd_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R5.2,,Ts9d7c2c,turn_2nd_defense,dynamic,BTN,BB,turn_2nd_defense dynamic BTNvBB
D0062,design_turn_2nd_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R5.2,,9h8d6c2c,turn_2nd_defense,dynamic,BTN,BB,turn_2nd_defense dynamic BTNvBB
D0063,design_turn_2nd_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R5.2,,8c7d5s2c,turn_2nd_defense,dynamic,BTN,BB,turn_2nd_defense dynamic BTNvBB
D0064,design_turn_2nd_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R5.2,,Ts9s8d2h,turn_2nd_defense,dynamic_2tone,BTN,BB,turn_2nd_defense dynamic_2tone BTNvBB
D0065,design_turn_2nd_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R5.2,,9s8s6d2h,turn_2nd_defense,dynamic_2tone,BTN,BB,turn_2nd_defense dynamic_2tone BTNvBB
D0066,design_turn_2nd_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R5.2,,7s6s5d2h,turn_2nd_defense,dynamic_2tone,BTN,BB,turn_2nd_defense dynamic_2tone BTNvBB
D0067,design_turn_2nd_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R5.2,,8s5h2cTd,turn_2nd_defense,low_dry,BTN,BB,turn_2nd_defense low_dry BTNvBB
D0068,design_turn_2nd_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R5.2,,9c6d4sTd,turn_2nd_defense,low_dry,BTN,BB,turn_2nd_defense low_dry BTNvBB
D0069,design_turn_2nd_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R5.2,,7h4d2cTd,turn_2nd_defense,low_dry,BTN,BB,turn_2nd_defense low_dry BTNvBB
D0070,design_turn_2nd_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R5.2,,KsQsJs2d,turn_2nd_defense,monotone,BTN,BB,turn_2nd_defense monotone BTNvBB
D0071,design_turn_2nd_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R5.2,,Ts8s5s2d,turn_2nd_defense,monotone,BTN,BB,turn_2nd_defense monotone BTNvBB
D0072,design_turn_2nd_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R5.2,,9s7s4s2d,turn_2nd_defense,monotone,BTN,BB,turn_2nd_defense monotone BTNvBB
D0073,design_turn_2nd_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R5.2,,Ks7d7cTh,turn_2nd_defense,paired,BTN,BB,turn_2nd_defense paired BTNvBB
D0074,design_turn_2nd_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R5.2,,Th7s7d9c,turn_2nd_defense,paired,BTN,BB,turn_2nd_defense paired BTNvBB
D0075,design_turn_2nd_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R5.2,,9s9d4cTh,turn_2nd_defense,paired,BTN,BB,turn_2nd_defense paired BTNvBB
D0076,design_turn_2nd_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-R2.1-C,X-R5.2,,KsKd2cTh,turn_2nd_defense,paired,BTN,BB,turn_2nd_defense paired BTNvBB
D0077,design_turn_probe,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,,,Ks7d2cTh,turn_probe,dry_high,BTN,BB,turn_probe dry_high BTNvBB
D0078,design_turn_probe,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,,,Qh8d3sTh,turn_probe,dry_high,BTN,BB,turn_probe dry_high BTNvBB
D0079,design_turn_probe,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,,,Js5c2hTh,turn_probe,dry_high,BTN,BB,turn_probe dry_high BTNvBB
D0080,design_turn_probe,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,,,Ts9d7c2c,turn_probe,dynamic,BTN,BB,turn_probe dynamic BTNvBB
D0081,design_turn_probe,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,,,9h8d6c2c,turn_probe,dynamic,BTN,BB,turn_probe dynamic BTNvBB
D0082,design_turn_probe,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,,,8c7d5s2c,turn_probe,dynamic,BTN,BB,turn_probe dynamic BTNvBB
D0083,design_turn_probe,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,,,Ts9s8d2h,turn_probe,dynamic_2tone,BTN,BB,turn_probe dynamic_2tone BTNvBB
D0084,design_turn_probe,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,,,9s8s6d2h,turn_probe,dynamic_2tone,BTN,BB,turn_probe dynamic_2tone BTNvBB
D0085,design_turn_probe,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,,,7s6s5d2h,turn_probe,dynamic_2tone,BTN,BB,turn_probe dynamic_2tone BTNvBB
D0086,design_turn_probe,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,,,8s5h2cTd,turn_probe,low_dry,BTN,BB,turn_probe low_dry BTNvBB
D0087,design_turn_probe,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,,,9c6d4sTd,turn_probe,low_dry,BTN,BB,turn_probe low_dry BTNvBB
D0088,design_turn_probe,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,,,7h4d2cTd,turn_probe,low_dry,BTN,BB,turn_probe low_dry BTNvBB
D0089,design_turn_probe,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,,,KsQsJs2d,turn_probe,monotone,BTN,BB,turn_probe monotone BTNvBB
D0090,design_turn_probe,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,,,Ts8s5s2d,turn_probe,monotone,BTN,BB,turn_probe monotone BTNvBB
D0091,design_turn_probe,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,,,9s7s4s2d,turn_probe,monotone,BTN,BB,turn_probe monotone BTNvBB
D0092,design_turn_probe,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,,,Ks7d7cTh,turn_probe,paired,BTN,BB,turn_probe paired BTNvBB
D0093,design_turn_probe,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,,,Th7s7d9c,turn_probe,paired,BTN,BB,turn_probe paired BTNvBB
D0094,design_turn_probe,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,,,9s9d4cTh,turn_probe,paired,BTN,BB,turn_probe paired BTNvBB
D0095,design_turn_probe,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,,,KsKd2cTh,turn_probe,paired,BTN,BB,turn_probe paired BTNvBB
D0096,design_turn_probe_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,X-R5.2,,Ks7d2cTh,turn_probe_defense,dry_high,BTN,BB,turn_probe_defense dry_high BTNvBB
D0097,design_turn_probe_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,X-R5.2,,Qh8d3sTh,turn_probe_defense,dry_high,BTN,BB,turn_probe_defense dry_high BTNvBB
D0098,design_turn_probe_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,X-R5.2,,Js5c2hTh,turn_probe_defense,dry_high,BTN,BB,turn_probe_defense dry_high BTNvBB
D0099,design_turn_probe_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,X-R5.2,,Ts9d7c2c,turn_probe_defense,dynamic,BTN,BB,turn_probe_defense dynamic BTNvBB
D0100,design_turn_probe_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,X-R5.2,,9h8d6c2c,turn_probe_defense,dynamic,BTN,BB,turn_probe_defense dynamic BTNvBB
D0101,design_turn_probe_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,X-R5.2,,8c7d5s2c,turn_probe_defense,dynamic,BTN,BB,turn_probe_defense dynamic BTNvBB
D0102,design_turn_probe_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,X-R5.2,,Ts9s8d2h,turn_probe_defense,dynamic_2tone,BTN,BB,turn_probe_defense dynamic_2tone BTNvBB
D0103,design_turn_probe_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,X-R5.2,,9s8s6d2h,turn_probe_defense,dynamic_2tone,BTN,BB,turn_probe_defense dynamic_2tone BTNvBB
D0104,design_turn_probe_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,X-R5.2,,7s6s5d2h,turn_probe_defense,dynamic_2tone,BTN,BB,turn_probe_defense dynamic_2tone BTNvBB
D0105,design_turn_probe_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,X-R5.2,,8s5h2cTd,turn_probe_defense,low_dry,BTN,BB,turn_probe_defense low_dry BTNvBB
D0106,design_turn_probe_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,X-R5.2,,9c6d4sTd,turn_probe_defense,low_dry,BTN,BB,turn_probe_defense low_dry BTNvBB
D0107,design_turn_probe_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,X-R5.2,,7h4d2cTd,turn_probe_defense,low_dry,BTN,BB,turn_probe_defense low_dry BTNvBB
D0108,design_turn_probe_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,X-R5.2,,KsQsJs2d,turn_probe_defense,monotone,BTN,BB,turn_probe_defense monotone BTNvBB
D0109,design_turn_probe_defense,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.5-F-C,X-X,X-R5.2,,Ts8s5s2d,turn_probe_defense,monotone,BTN,BB,turn_probe_defense monotone BTNvBB
