id,topic,gametype,depth,stacks,preflop_actions,flop_actions,turn_actions,river_actions,board,note
A15,3bp_BTN_river,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.6-F-R13.65-C,X-R19.9,X-X,,Ks7d2c5h3d,3bp BTNvBB river
A16,3bp_BTN_river,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.6-F-R13.65-C,X-R19.9,X-X,,Th9s8c2dAh,3bp BTNvBB T98A river
A17,3bp_CO_turn,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-R2.4-F-F-R14.4-C,X-R19.9,X-,,Ks7d2c5h,3bp COvBB Kxx turn
A18,3bp_CO_turn,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-R2.4-F-F-R14.4-C,X-R19.9,X-,,Th9s8c2d,3bp COvBB T98 turn
A19,3bp_CO_river,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-R2.4-F-F-R14.4-C,X-R19.9,X-X,,Ks7d2c5h3d,3bp COvBB river
A20,3bp_SB_HJ_turn,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-R14-F-C,X-R19.9,X-,,Ks7d2c5h,3bp SBvHJ Kxx turn
# Topic B: Turn CR / probe / donk
B01,turn_probe_BB,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C,X-X,,,Ks7d2c5h,SRP HJvBB flop XX turn BB probe Kxx
B02,turn_probe_BB,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C,X-X,,,Th9s8c4d,SRP HJvBB turn probe T98 wet
B03,turn_probe_BB,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C,X-X,,,Ah4d2c9s,SRP HJvBB turn probe A42
B04,turn_probe_BB,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C,X-X,,,9h8s7d4c,SRP HJvBB turn probe 987
B05,turn_probe_BB,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C,X-X,,,QhJd4s7c,SRP HJvBB turn probe QJ4
B06,turn_donk_BB,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C,X-R1.9-C,,,Ks7d2c5h,SRP after IP cbet turn BB donk Kxx
B07,turn_donk_BB,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C,X-R1.9-C,,,Th9s8c4d,SRP turn donk T98
B08,turn_donk_BB,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C,X-R1.9-C,,,QhJd4s7c,SRP turn donk QJ4
B09,flop_donk_BB,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C,,,,Ks7d2c,SRP HJvBB BB flop first act
B10,flop_donk_BB,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C,,,,9h8s7d,SRP HJvBB BB flop 987 first act
B11,flop_donk_BB,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C,,,,AhKd4s,SRP HJvBB BB flop AK4 first
B12,flop_donk_BB,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C,,,,Td7c6s,SRP HJvBB BB flop T76 first
B13,flop_donk_BB,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C,,,,QhJd4s,SRP HJvBB BB flop QJ4 first
B14,flop_donk_BTN,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.6-F-C,,,,9h8s7d,BTNvBB BB flop 987 first
B15,flop_donk_BTN,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.6-F-C,,,,Ks7d2c,BTNvBB BB flop Kxx first
B16,probe_river,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C,X-X,X-X,,Ks7d2c5h3d,SRP after XX-XX river BB
B17,probe_river,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C,X-X,X-X,,Th9s8c4dAh,SRP after XX-XX river T98+A
B18,probe_river,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.6-F-C,X-X,X-X,,Ks7d2c5h3d,BTNvBB after XX-XX river BB
B19,turn_donk_BTN,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.6-F-C,X-R1.9-C,,,Ks7d2c5h,BTNvBB turn donk Kxx
B20,turn_donk_BTN,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.6-F-C,X-R1.9-C,,,Th9s8c4d,BTNvBB turn donk T98
# Topic C: SRP cbet-call turn-river patterns
C01,SRP_turn_cbc,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C,X-R1.9-C,,,Ks7d2c5h,SRP turn cbet-called Kxx
C02,SRP_turn_cbc,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C,X-R1.9-C,,,Ah4d2c9s,SRP turn cbet-called A42
C03,SRP_turn_cbc,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C,X-R1.9-C,,,9h8s7d4c,SRP turn cbet-called 987
C04,SRP_turn_cbc,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C,X-R1.9-C,,,QhJd4s7c,SRP turn cbet-called QJ4
C05,SRP_turn_cbc,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C,X-R1.9-C,,,Td7c6s2h,SRP turn cbet-called T76
C06,SRP_turn_cbc,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C,X-R1.9-C,,,AhKd4s8c,SRP turn cbet-called AK4
C07,SRP_river_check,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C,X-R1.9-C,X-X,,Ks7d2c5h3d,SRP turn give up river BB
C08,SRP_river_check,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C,X-R1.9-C,X-X,,QhJd4s7c2h,SRP turn give up QJ4 river
C09,SRP_river_check,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-C,X-R1.9-C,X-X,,9h8s7d4c2d,SRP turn give up 987 river
C10,SRP_BTN_turn_cbc,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.6-F-C,X-R1.9-C,,,Ks7d2c5h,BTNvBB turn cbet-called Kxx
C11,SRP_BTN_turn_cbc,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.6-F-C,X-R1.9-C,,,9h8s7d4c,BTNvBB turn cbet-called 987
C12,SRP_BTN_turn_cbc,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.6-F-C,X-R1.9-C,,,AhKd4s8c,BTNvBB turn cbet-called AK4
C13,SRP_BTN_turn_cbc,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.6-F-C,X-R1.9-C,,,Td7c6s2h,BTNvBB turn cbet-called T76
C14,SRP_BTN_river_check,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.6-F-C,X-R1.9-C,X-X,,Ks7d2c5h3d,BTNvBB turn give up river
C15,SRP_CO_turn_cbc,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-R2.4-F-F-C,X-R1.9-C,,,Ks7d2c5h,COvBB turn cbet-called Kxx
# Topic D: Multiway 3-way
D01,3way_HJ_flop_SB,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-C-C,,,,Ks7d2c,3way HJ+SB+BB flop SB first Kxx
D02,3way_HJ_flop_SB,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-C-C,,,,9h8s7d,3way SB first 987
D03,3way_HJ_flop_SB,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-C-C,,,,AhKd4s,3way SB first AK4
D04,3way_HJ_flop_SB,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-C-C,,,,Td7c6s,3way SB first T76
D05,3way_HJ_turn,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-C-C,X-X-X,,,Ks7d2c5h,3way HJ multiway turn first SB after XXX
D06,3way_HJ_turn,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-C-C,X-X-X,,,Th9s8c4d,3way turn T98
D07,3way_HJ_turn,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-C-C,X-X-X,,,AhKd4s8c,3way turn AK4
D08,3way_HJ_river,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-C-C,X-X-X,X-X-X,,Ks7d2c5h3d,3way river all checks
D09,3way_HJ_river,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-C-C,X-X-X,X-X-X,,Th9s8c4d2d,3way river T98 all checks
D10,3way_BTN_flop_SB,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.6-C-C,,,,Ks7d2c,3way BTN SB first Kxx
D11,3way_BTN_flop_SB,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.6-C-C,,,,9h8s7d,3way BTN SB first 987
D12,3way_BTN_flop_SB,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.6-C-C,,,,AhKd4s,3way BTN SB first AK4
D13,3way_BTN_turn,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.6-C-C,X-X-X,,,Ks7d2c5h,3way BTN turn SB first
D14,3way_BTN_turn,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.6-C-C,X-X-X,,,Th9s8c4d,3way BTN turn T98
D15,3way_BTN_river,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.6-C-C,X-X-X,X-X-X,,Ks7d2c5h3d,3way BTN river all checks
D16,3way_CO_flop_SB,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-R2.4-F-C-C,,,,Ks7d2c,3way CO SB first Kxx
D17,3way_CO_turn,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-R2.4-F-C-C,X-X-X,,,Ks7d2c5h,3way CO turn
# Topic E: ICM bubble - asymmetric stacks
E01,ICM_BB_def,MTTGeneral_ICM6m200PTT2,28.125,28.125-26.125-22.125-30.125-20.125-24.125,F-R2-F-F-F,,,,,ICM BB vs HJ open
E02,ICM_BB_def,MTTGeneral_ICM6m200PTT2,28.125,28.125-26.125-22.125-30.125-20.125-24.125,R2-F-F-F-F,,,,,ICM BB vs UTG open
E03,ICM_BB_def,MTTGeneral_ICM6m200PTT2,28.125,28.125-26.125-22.125-30.125-20.125-24.125,F-F-F-R2-F,,,,,ICM BB vs BTN open
E04,ICM_BB_def,MTTGeneral_ICM6m200PTT2,28.125,28.125-26.125-22.125-30.125-20.125-24.125,F-F-R2-F-F,,,,,ICM BB vs CO open
E05,ICM_SB_def,MTTGeneral_ICM6m200PTT2,28.125,28.125-26.125-22.125-30.125-20.125-24.125,F-F-F-R2-F,,,,,ICM SB after BTN open
E06,ICM_HJ_open,MTTGeneral_ICM6m200PTT2,28.125,28.125-26.125-22.125-30.125-20.125-24.125,F,,,,,ICM HJ open spot
E07,ICM_UTG_open,MTTGeneral_ICM6m200PTT2,28.125,28.125-26.125-22.125-30.125-20.125-24.125,,,,,,ICM UTG first to act
E08,ICM_BTN_open,MTTGeneral_ICM6m200PTT2,28.125,28.125-26.125-22.125-30.125-20.125-24.125,F-F-F,,,,,ICM BTN open spot
E09,ICM_CO_open,MTTGeneral_ICM6m200PTT2,28.125,28.125-26.125-22.125-30.125-20.125-24.125,F-F,,,,,ICM CO open spot
E10,ICM_SB_facing_BTN_RAI,MTTGeneral_ICM6m200PTT2,28.125,28.125-26.125-22.125-30.125-20.125-24.125,F-F-F-RAI,,,,,ICM SB facing BTN shove
