id,topic,gametype,depth,stacks,preflop_actions,flop_actions,turn_actions,river_actions,board,note
B20b,turn_donk_BTN,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.6-F-C,X-R2.1-C,,,Th9s8c4d,BTNvBB turn donk T98
# 3bp rivers with correct sizes
A10b,3bp_river_dry,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-R13.2-C,X-R19.9-C,X-X,,Ks7d2c5h3d,3bp HJvBB Kxx turn XX river
A11b,3bp_river_wet,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-R2.2-F-F-F-R13.2-C,X-R5.5-C,X-X,,9h8s7d3cTh,3bp HJvBB 987 turn XX river
A15b,3bp_BTN_river_dry,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.6-F-R13.65-C,X-R19.9-C,X-X,,Ks7d2c5h3d,3bp BTNvBB river dry
A16b,3bp_BTN_river_wet,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-F-R2.6-F-R13.65-C,X-R5.5-C,X-X,,Th9s8c2dAh,3bp BTNvBB river wet
A19b,3bp_CO_river,MTT6mSimple,200.125,200.125-200.125-200.125-200.125-200.125-200.125,F-F-R2.4-F-F-R14.4-C,X-R19.9-C,X-X,,Ks7d2c5h3d,3bp COvBB river
# ICM additional - SB facing shove (RAI from BTN may not be in tree)
# Try SB facing BTN open call instead
E10b,ICM_SB_def,MTTGeneral_ICM6m200PTT2,28.125,28.125-26.125-22.125-30.125-20.125-24.125,F-F-RAI,,,,,ICM CO shove (instead of BTN since BTN may not RAI here)
